Name,Loan Amount,Annual Income,Credit Score,Employment Length,Loan Term,Debt-to-Income Ratio (DTI),Home Ownership,Purpose of Loan,Interest Rate
Person_1,171958,496956.0,551.0,4.0,42.0,40.27,Mortgage,Personal,9.46
Person_2,721155,1036002.0,591.0,7.0,43.0,35.46,Own,Car,8.89
Person_3,181932,1561621.0,659.0,9.1,34.0,28.45,Own,Business,7.63
Person_4,1464414,1370642.0,658.0,9.1,36.0,33.15,Mortgage,Home,7.88
Person_5,309178,590508.0,545.0,6.8,50.0,35.78,Rent,Personal,10.47
Person_6,1742743,1954187.0,681.0,10.7,34.0,25.61,Own,Home,7.58
Person_7,160268,1969107.0,718.0,13.0,23.0,22.79,Mortgage,Education,6.24
Person_8,782180,236160.0,530.0,2.7,50.0,44.95,Rent,Education,10.36
Person_9,1153462,219156.0,504.0,2.5,54.0,41.52,Own,Education,11.04
Person_10,187337,2770348.0,777.0,16.5,18.0,24.17,Mortgage,Car,5.3
Person_11,1049890,2762688.0,756.0,16.6,22.0,21.51,Rent,Car,5.73
Person_12,1620006,2970441.0,777.0,17.4,26.0,18.99,Rent,Business,4.87
Person_13,1186074,659822.0,562.0,4.0,44.0,36.99,Mortgage,Home,9.48
Person_14,1997735,1479802.0,600.0,8.9,40.0,28.95,Rent,Education,8.91
Person_15,962756,2014630.0,657.0,13.0,30.0,27.44,Mortgage,Education,6.93
Person_16,225203,1710267.0,650.0,10.6,34.0,28.89,Rent,Car,8.2
Person_17,1289911,919701.0,562.0,5.5,42.0,33.22,Mortgage,Car,9.4
Person_18,328167,1081809.0,605.0,8.2,44.0,31.46,Own,Car,9.13
Person_19,91090,505007.0,523.0,4.0,50.0,37.58,Rent,Personal,10.79
Person_20,379365,937197.0,556.0,9.2,46.0,39.39,Mortgage,Home,9.77
Person_21,1163396,2362591.0,755.0,15.5,31.0,27.8,Mortgage,Home,6.13
Person_22,837201,845649.0,571.0,7.2,44.0,36.95,Rent,Personal,9.86
Person_23,1420455,412986.0,534.0,6.2,48.0,40.6,Own,Education,10.31
Person_24,1816891,2131184.0,674.0,12.6,35.0,24.71,Mortgage,Business,7.37
Person_25,377069,229777.0,503.0,4.6,50.0,40.02,Own,Business,11.36
Person_26,1875573,620661.0,555.0,7.3,46.0,41.25,Rent,Education,10.03
Person_27,1297617,398110.0,508.0,4.7,56.0,44.18,Own,Business,11.25
Person_28,841743,1233981.0,621.0,8.0,35.0,31.39,Rent,Car,7.88
Person_29,153355,614627.0,540.0,3.3,50.0,38.38,Mortgage,Home,10.29
Person_30,1334372,2575163.0,741.0,14.4,24.0,20.63,Own,Car,5.65
Person_31,1312752,890568.0,568.0,7.7,49.0,35.31,Rent,Business,9.69
Person_32,234779,1894408.0,716.0,12.6,26.0,29.81,Mortgage,Business,6.85
Person_33,1446025,1911303.0,681.0,12.1,36.0,24.67,Own,Home,7.89
Person_34,1520485,759650.0,546.0,5.4,42.0,38.22,Rent,Car,9.87
Person_35,1039436,2547601.0,761.0,11.9,22.0,23.22,Own,Home,5.56
Person_36,1357371,2610884.0,726.0,14.1,27.0,20.93,Mortgage,Business,6.4
Person_37,536232,1417933.0,636.0,8.8,35.0,33.36,Mortgage,Home,7.99
Person_38,967040,1899547.0,641.0,11.0,36.0,27.69,Rent,Home,8.49
Person_39,1598762,405827.0,505.0,5.2,50.0,42.8,Own,Business,10.97
Person_40,206730,2500070.0,743.0,16.7,28.0,19.14,Own,Home,6.11
Person_41,1969486,542424.0,560.0,5.2,42.0,38.48,Mortgage,Car,10.04
Person_42,1483257,1661659.0,660.0,10.0,33.0,29.32,Own,Business,7.78
Person_43,1248079,2250241.0,712.0,12.7,35.0,19.0,Own,Home,6.47
Person_44,704811,940045.0,579.0,7.1,44.0,33.55,Own,Education,9.45
Person_45,577035,1356245.0,596.0,7.8,36.0,30.48,Rent,Car,8.85
Person_46,698143,932318.0,569.0,7.0,41.0,37.69,Mortgage,Car,9.69
Person_47,1550942,358998.0,518.0,4.8,51.0,39.36,Rent,Car,11.03
Person_48,115725,1876079.0,699.0,11.5,30.0,25.96,Mortgage,Personal,6.64
Person_49,1228557,822995.0,580.0,7.0,39.0,38.38,Rent,Business,8.99
Person_50,134654,2203011.0,675.0,13.3,39.0,21.52,Rent,Personal,7.51
Person_51,1003277,2190094.0,715.0,10.5,35.0,20.73,Rent,Home,6.43
Person_52,641723,2542999.0,736.0,15.2,27.0,21.08,Own,Business,6.24
Person_53,369030,1476120.0,624.0,8.6,41.0,28.17,Mortgage,Car,8.63
